,f-statistic,p-value
E:ES200,10.993249935673063,0.0009149019346457095
E:MK,6.496525922929496,0.010810705133259133
E:Max,9.748505460913305,0.0017950577719133595
E:Urban E-Bike,70.05952613476951,5.85543372240969e-17
ES-08S:LB,7.483359889815801,0.006334802482223217
ES-08S:Urban E-Bike,10.024294971918295,0.0015531945011382899
ES100:ES200,5.743182286672739,0.016582538099339846
ES100:MK,3.920269918772064,0.04777787438146433
ES100:Urban E-Bike,13.281456912897168,0.0002698560773439367
ES200:ES400,8.769413733172925,0.003072902173206012
ES200:Max,6.570587471315122,0.010369752396477382
ES200:SL,10.448598574187614,0.0012275889096043909
ES200:Urban E-Bike,35.00052963915291,3.431992402957119e-09
ES400:MK,5.649177706882839,0.01749959669100327
ES400:Urban E-Bike,17.668101972916894,2.655956001220625e-05
LB:Lucky,4.815940937980546,0.029514640382580566
MK:Max,4.726437704014749,0.029705638212284655
MK:SL,6.004343810187504,0.014271406435731796
MK:Urban E-Bike,14.047194590795945,0.00018003388942291118
Max:SL,17.57463765130504,2.763247835314633e-05
Max:Urban E-Bike,99.2926863618903,2.252761143613466e-23
SL:Urban E-Bike,67.87653054849005,1.74906512160653e-16
